Stock,Exchange,Sector,
Frontage Holdings Corp. (1521),XHKG,Healthcare Provision,
Frontier Services Group Ltd. (500),XHKG,Transportation Services,
FSE Lifestyle Services Ltd. (331),XHKG,Technical Services,
FSM Holdings Ltd. (1721),XHKG,Industrial Products,
Fu Shek Financial Holdings Ltd. (2263),XHKG,Securities,
Fu Shou Yuan International Group Ltd. (1448),XHKG,Consumer Services,
Fufeng Group Ltd. (546),XHKG,Food Products,
Fujian Holdings Ltd. (181),XHKG,Real Estate Developers,
Fujikon Industrial Holdings Ltd. (927),XHKG,Audio/Video Equipment,
Fullshare Holdings Ltd. (607),XHKG,Real Estate Developers,
Fullsun International Holdings Group Co. Ltd. (627),XHKG,Real Estate Developers,
Fullwealth International Group Holdings Ltd. (1034),XHKG,Construction,
Fulu Holdings Ltd. (2101),XHKG,Internet/Online,
Fulum Group Holdings Ltd. (1443),XHKG,Restaurants,
Furniweb Holdings Ltd. (8480),XHKG,Clothing,
Fusen Pharmaceutical Co. Ltd. (1652),XHKG,Pharmaceuticals,
Futong Technology Development Holdings Ltd. (465),XHKG,Computer Services,
Future Bright Holdings Ltd. (703),XHKG,Recreational Services,
Future Bright Mining Holdings Ltd. (2212),XHKG,General Mining,
Future Data Group Ltd. (8229),XHKG,Computer Services,
Future World Holdings Ltd. (572),XHKG,Securities,
Fuyao Glass Industry Group Co. Ltd. (3606),XHKG,Industrial Products,
FY Financial (Shenzhen) Co. Ltd. (8452),XHKG,Finance Companies,
G&M Holdings Ltd. (6038),XHKG,Construction,
GA Holdings Ltd. (8126),XHKG,General Services,
Gain Plus Holdings Ltd. (9900),XHKG,Construction,
Galaxy Entertainment Group Ltd. (27),XHKG,Gambling Industries,
Gameone Holdings Ltd. (8282),XHKG,Toys & Games,
Ganfeng Lithium Co. Ltd. H (1772),XHKG,Non-Ferrous Metals,
Ganglong China Property Group Ltd. (6968),XHKG,Real Estate Developers,
GBA Holdings Ltd. (261),XHKG,Wholesalers,
GCL New Energy Holdings Ltd. (451),XHKG,Construction,
GCL-Poly Energy Holdings Ltd. (3800),XHKG,Industrial Electronics,
GDH Guangnan (Holdings) Ltd. (1203),XHKG,Containers/Packaging,
GDS Holdings Ltd. (9698),XHKG,Computer Services,
Geely Automobile Holdings Ltd. (175),XHKG,Automobiles,
Gemdale Properties & Investment Corp. Ltd. (535),XHKG,Real Estate Developers,
Gemilang International Ltd. (6163),XHKG,Commercial Vehicles,
Gemini Investments (Holdings) Ltd. (174),XHKG,Real Estate Developers,
Genertec Universal Medical Group Co. Ltd. (2666),XHKG,Healthcare Provision,
Genes Tech Group Holdings Co. Ltd. (8257),XHKG,Semiconductors,
Genor Biopharma Holdings Ltd. (6998),XHKG,Biotechnology,
Genscript Biotech Corp. (1548),XHKG,Biotechnology,
Genting Hong Kong Ltd. (678),XHKG,Tourism,
Geotech Holdings Ltd. (1707),XHKG,Construction,
GET Holdings Ltd. (8100),XHKG,Software,
Get Nice Financial Group Ltd. (1469),XHKG,Finance Companies,
Get Nice Holdings Ltd. (64),XHKG,Securities,
GF Securities Co. Ltd. (1776),XHKG,Securities,
GHW International (9933),XHKG,Chemicals,
Giordano International Ltd. (709),XHKG,Clothing Retail,
Global Bio-Chem Technology Group Co. Ltd. (809),XHKG,Food Products,
Global Digital Creations Holdings Ltd. (8271),XHKG,Motion Picture/Sound Recording,
Global International Credit Group Ltd. (1669),XHKG,Mortgages,
Global Link Communications Holdings Ltd. (8060),XHKG,Networking,
Global Mastermind Capital Ltd. (905),XHKG,Finance Companies,
Global Mastermind Holdings Ltd. (8063),XHKG,Tourism,
Global New Material International Holdings Ltd. (6616),XHKG,Chemicals,
Global Strategic Group Ltd. (8007),XHKG,Computer Services,
Global Sweeteners Holdings Ltd. (3889),XHKG,Food Products,
Glorious Property Holdings Ltd. (845),XHKG,Real Estate Developers,
Glorious Sun Enterprises Ltd. (393),XHKG,Clothing Retail,
Glory Flame Holdings Ltd. (8059),XHKG,Construction,
Glory Mark Hi-Tech (Holdings) Ltd. (8159),XHKG,Computers/Consumer Electronics,
Glory Sun Financial Group Ltd. (1282),XHKG,Real Estate Developers,
Glory Sun Land Group Ltd. (299),XHKG,Real Estate Developers,
Goal Forward Holdings Ltd. (1854),XHKG,Food Products,
Goal Rise Logistics (China) Holdings Ltd. (1529),XHKG,Transportation Services,
Gold Peak Industries (Holdings) Ltd. (40),XHKG,Industrial Electronics,
Golden Century International Holdings Group Ltd. (91),XHKG,Industrial Electronics,
Golden Eagle Retail Group Ltd. (3308),XHKG,Mixed Retailing,
Golden Faith Group Holdings Ltd. (2863),XHKG,Construction,
Golden Ponder Holdings Ltd. (1783),XHKG,Construction,
Golden Power Group Holdings Ltd. (3919),XHKG,Industrial Electronics,
Golden Resources Development International Ltd. (677),XHKG,Food Products,
Golden Solar New Energy Technology Holdings Ltd. (1121),XHKG,Footwear,
Golden Throat Holdings Group Co. Ltd. (6896),XHKG,Pharmaceuticals,
Golden Wheel Tiandi Holdings Co. Ltd. (1232),XHKG,Real Estate Developers,
Goldin Financial Holdings Ltd. (530),XHKG,Alcoholic Beverages/Drinks,
Goldlion Holdings Ltd. (533),XHKG,Clothing,
Goldpac Group Ltd. (3315),XHKG,Consumer Finance,
Goldstone Investment Group Ltd. (901),XHKG,Finance Companies,
Goldstream Investment Ltd. (1328),XHKG,Diversified Business Services,
Goldway Education Group Ltd. (8160),XHKG,Consumer Services,
Golik Holdings Ltd. (1118),XHKG,Iron/Steel,
Gome Finance Technology Co. Ltd. (628),XHKG,Consumer Finance,
GOME Retail Holdings Ltd. (493),XHKG,Home Goods Retail,
Good Fellow Healthcare Holdings Ltd. (8143),XHKG,Healthcare Provision,
Goodbaby International Holdings Ltd. (1086),XHKG,Housewares,
GR Properties Ltd. (108),XHKG,Real Estate Developers,
Grace Wine Holdings Ltd. (8146),XHKG,Alcoholic Beverages/Drinks,
Grand Baoxin Auto Group Ltd. (1293),XHKG,Specialty Retail,
Grand Brilliance Group Holdings Ltd. (8372),XHKG,Drug Retail,
Grand Field Group Holdings Ltd. (115),XHKG,Real Estate Developers,
Grand Ming Group Holdings Ltd. (1271),XHKG,Construction,
Grand Ocean Advanced Resources Co. Ltd. (65),XHKG,Containers/Packaging,
Grand Pharmaceutical Group Ltd. (512),XHKG,Pharmaceuticals,
Grand Power Logistics Group Ltd. (8489),XHKG,Transportation Services,
Grand T G Gold Holdings Ltd. (8299),XHKG,Gold,
Grand Talents Group Holdings Ltd. (8516),XHKG,Construction,
Grandshores Technology Group Ltd. (1647),XHKG,Construction,
Graphex Group Ltd. (6128),XHKG,Coal,
Great China Properties Holdings Ltd. (21),XHKG,Real Estate Developers,
Great Eagle Holdings Ltd. (41),XHKG,Hotels,
Great Harvest Maeta Holdings Ltd. (3683),XHKG,Water Transport/Shipping,
Great Wall Motor Co. Ltd. (2333),XHKG,Automobiles,
Great Wall Pan Asia Holdings Ltd. (583),XHKG,Real Estate Developers,
Great Wall Terroir Holdings Ltd. (524),XHKG,Wireless Telecommunications Services,
Great Water Holdings Ltd. (8196),XHKG,Environment/Waste Management,
Great World Co. Holdings Ltd. (8003),XHKG,Networking,
Greater Bay Area Dynamic Growth Holding Ltd. (1189),XHKG,Hotels,
Greater China Financial Holdings Ltd. (431),XHKG,Wholesalers,
Greatime International Holdings Ltd. (844),XHKG,Clothing,
Greatview Aseptic Packaging Co. Ltd. (468),XHKG,Containers/Packaging,
Greatwalle Inc. (8315),XHKG,Diversified Business Services,
Green Economy Development Ltd. (1315),XHKG,Diversified Business Services,
Green Energy Group Ltd. (979),XHKG,Construction,
Green Future Food Hydrocolloid Marine Science Co. Ltd. (1084),XHKG,Food Products,
Green International Holdings Ltd. (2700),XHKG,Toys & Games,
Green Leader Holdings Group Ltd. (61),XHKG,Coal,
Greenheart Group Ltd. (94),XHKG,Forestry & Wood Products,
Greenland Hong Kong Holdings Ltd. (337),XHKG,Real Estate Developers,
Greentech Technology International Ltd. (195),XHKG,Non-Ferrous Metals,
Greentown China Holdings Ltd. (3900),XHKG,Real Estate Developers,
Greentown Management Holdings Co. Ltd. (9979),XHKG,Real Estate Developers,
Greentown Service Group Co. Ltd. (2869),XHKG,Real Estate Developers,
G-Resources Group Ltd. (1051),XHKG,Finance Companies,
Grown Up Group Investment Holdings Ltd. (1842),XHKG,Leisure Goods,
GT Steel Construction Group Ltd. (8402),XHKG,Building Materials/Products,
Guan Chao Holdings Ltd. (1872),XHKG,Specialty Retail,
Guangdong Adway Construction (Group) Holdings Co. Ltd. (6189),XHKG,Construction,
Guangdong Investment Ltd. (270),XHKG,Water Utilities,
Guangdong Join-Share Financing Guarantee Investment Co. Ltd. (1543),XHKG,Finance Companies,
Guangdong Land Holdings Ltd. (124),XHKG,Alcoholic Beverages/Drinks,
Guangdong Tannery Ltd. (1058),XHKG,Clothing,
Guangdong Yueyun Transportation Co. Ltd. (3399),XHKG,Transportation Services,
Guangdong-Hong Kong Greater Bay Area Holdings Ltd. (1396),XHKG,Real Estate Developers,
Guangshen Railway Co. Ltd. (525),XHKG,Railroads,
Guangzhou Automobile Group Co. Ltd. (2238),XHKG,Automobiles,
Guangzhou Baiyunshan Pharmaceutical Holdings Co. Ltd. (874),XHKG,Pharmaceuticals,
Guangzhou R&F Properties Co. Ltd. (2777),XHKG,Real Estate Developers,
Guangzhou Rural Commercial Bank Co. Ltd. (1551),XHKG,Banking,
Gudou Holdings Ltd. (8308),XHKG,Hotels,
Guoco Group Ltd. (53),XHKG,Diversified Holding Companies,
Guodian Technology & Environment Group Corp. Ltd. (1296),XHKG,Industrial Electronics,
Guolian Securities Co. Ltd. (1456),XHKG,Securities,
Guorui Properties Ltd. (2329),XHKG,Real Estate Developers,
Guotai Junan International Holdings Ltd. (1788),XHKG,Securities,
Guotai Junan Securities Co. Ltd. (2611),XHKG,Securities,
Guru Online (Holdings) Ltd. (8121),XHKG,Advertising/Marketing/Public Relations,
Gushengtang Holdings Ltd. (2273),XHKG,Healthcare Provision,
Haichang Ocean Park Holdings Ltd. (2255),XHKG,Recreational Services,
Haidilao International Holding Ltd. (6862),XHKG,Restaurants,
Haier Smart Home Co. Ltd. (6690),XHKG,Housewares,
Hailiang International Holdings Ltd. (2336),XHKG,Semiconductors,
Haina Intelligent Equipment International Holdings Ltd. (1645),XHKG,Industrial Machinery,
Hainan Meilan International Airport Co. Ltd. (357),XHKG,Transportation Services,
Haitian International Holdings Ltd. (1882),XHKG,Industrial Machinery,
Haitong International Securities Group Ltd. (665),XHKG,Investment Advisors,
Haitong Securities Co. Ltd. (6837),XHKG,Securities,
Haitong UniTrust International Financial Leasing Co. Ltd. (1905),XHKG,Finance Companies,
Hands Form Holdings Ltd. (1920),XHKG,Construction,
Hang Chi Holdings Ltd. (8405),XHKG,Healthcare Provision,
Hang Lung Group Ltd. (10),XHKG,Real Estate Developers,
Hang Lung Properties Ltd. (101),XHKG,Real Estate Developers,
Hang Pin Living Technology Co. Ltd. (1682),XHKG,Clothing,
Hang Sang (Siu Po) International Holding Co. Ltd. (3626),XHKG,Containers/Packaging,
Hang Seng Bank Ltd. (11),XHKG,Banking,
Hang Tai Yue Group Holdings Ltd. (8081),XHKG,Toys & Games,
Hangzhou SF Intra-City Industrial Co. Ltd. (9699),XHKG,Emerging Technologies,
Hangzhou Tigermed Consulting Co. Ltd. (3347),XHKG,Healthcare Provision,
Hanhua Financial Holding Co. Ltd. (3903),XHKG,Finance Companies,
Hanison Construction Holdings Ltd. (896),XHKG,Construction,
Hans Energy Co. Ltd. (554),XHKG,Oil & Gas Products/Services,
Hansoh Pharmaceutical Group Co. Ltd. (3692),XHKG,Pharmaceuticals,
Hanvey Group Holdings Ltd. (8219),XHKG,Jewelry & Watches,
Hao Tian International Construction Investment Group Ltd. (1341),XHKG,General Services,
Hao Wen Holdings Ltd. (8019),XHKG,Pharmaceuticals,
Harbin Bank Co. Ltd. (6138),XHKG,Banking,
Harbin Electric Co. Ltd. (1133),XHKG,Industrial Machinery,
Harbour Centre Development Ltd. (51),XHKG,Hotels,
Harbour Digital Asset Capital Ltd. (913),XHKG,Closed-End Funds,
Hatcher Group Ltd. (8365),XHKG,Diversified Business Services,
HBM Holdings Ltd. (2142),XHKG,Biotechnology,
HC Group Inc. (2280),XHKG,Internet/Online,
Health & Happiness (H&H) International Holdings Ltd. (1112),XHKG,Food Products,
Hebei Construction Group Corp. Ltd. (1727),XHKG,Construction,
Hebei Yichen Industrial Group Corp. Ltd. (1596),XHKG,Iron/Steel,
Helens International Holdings Co. Ltd. (9869),XHKG,Restaurants,
Henan Jinma Energy Co. Ltd. (6885),XHKG,Coal,
Henderson Investment Ltd. (97),XHKG,Mixed Retailing,
Henderson Land Development Co. Ltd. (12),XHKG,Real Estate Developers,
Heng Hup Holdings Ltd. (1891),XHKG,Wholesalers,
Heng Tai Consumables Group Ltd. (197),XHKG,Food Retail,
Hengan International Group Co. Ltd. (1044),XHKG,Nondurable Household Products,
Hengdeli Holdings Ltd. (3389),XHKG,Clothing Retail,
HengTen Networks Group Ltd. (136),XHKG,Internet/Online,
Hengtou Securities Co. Ltd. (1476),XHKG,Securities,
Hengxin Technology Ltd. (1085),XHKG,Networking,
Hephaestus Holdings Ltd. (8173),XHKG,General Services,
Herald Holdings Ltd. (114),XHKG,Toys & Games,
Hevol Services Group Co. Ltd. (6093),XHKG,Real Estate Developers,
HG Semiconductor Ltd. (6908),XHKG,Semiconductors,
Hi Sun Technology (China) Ltd. (818),XHKG,Computer Services,
Hidili Industry International Development Ltd. (1393),XHKG,Coal,
Hifood Group Holdings Co. Ltd. (442),XHKG,Jewelry & Watches,
High Fashion International Ltd. (608),XHKG,Clothing,
Hi-Level Technology Holdings Ltd. (8113),XHKG,Semiconductors,
Hilong Holding Ltd. (1623),XHKG,Oil & Gas Products/Services,
Hin Sang Group (International) Holding Co. Ltd. (6893),XHKG,Pharmaceuticals,
Hing Lee (HK) Holdings Ltd. (396),XHKG,Furniture,
Hing Ming Holdings Ltd. (8425),XHKG,General Services,
Hingtex Holdings Ltd. (1968),XHKG,Clothing,
Hisense Home Appliances Group Co. Ltd. (921),XHKG,Housewares,
HK Asia Holdings Ltd. (1723),XHKG,Wireless Telecommunications Services,
HK Electric Investments & HK Electric Investments Ltd. (2638),XHKG,Electric Utilities,
HKBN Ltd. (1310),XHKG,Wired Telecommunications Services,
HKC International Holdings Ltd. (248),XHKG,Networking,
HKE Holdings Ltd. (1726),XHKG,Construction,
HKR International Ltd. (480),XHKG,Real Estate Developers,
HKT Trust & HKT Ltd. (6823),XHKG,Wired Telecommunications Services,
HM International Holdings Ltd. (8416),XHKG,Printing,
hmvod Ltd. (8103),XHKG,Motion Picture/Sound Recording,
HNA Technology Investments Holdings Ltd. (2086),XHKG,Precision Products,
Holly Futures Co. Ltd. (3678),XHKG,Securities,
Home Control International Ltd. (1747),XHKG,Audio/Video Equipment,
Homeland Interactive Technology Ltd. (3798),XHKG,Toys & Games,
Hon Kwok Land Investment Co. Ltd. (160),XHKG,Real Estate Developers,
Honbridge Holdings Ltd. (8137),XHKG,Iron/Steel,
Hong Kong & China Gas Co. Ltd. (3),XHKG,Gas Utilities,
Hong Kong Aerospace Technology Group Ltd. (1725),XHKG,Aerospace Products/Parts,
Hong Kong Chaoshang Group Ltd. (2322),XHKG,Wholesalers,
Hong Kong Economic Times Holdings Ltd. (423),XHKG,Publishing,
Hong Kong Education (International) Investments Ltd. (1082),XHKG,Consumer Services,
Hong Kong Exchanges & Clearing Ltd. (388),XHKG,Securities,
Hong Kong Ferry (Holdings) Co. Ltd. (50),XHKG,Real Estate Developers,
Hong Kong Finance Group Ltd. (1273),XHKG,Mortgages,
Hong Kong Food Investment Holdings Ltd. (60),XHKG,Food Products,
Hong Kong Johnson Holdings Co. Ltd. (1955),XHKG,General Services,
Hong Kong Resources Holdings Co. Ltd. (2882),XHKG,Clothing Retail,
Hong Kong Shanghai Alliance Holdings Ltd. (1001),XHKG,Building Materials/Products,
Hong Kong Technology Venture Co. Ltd. (1137),XHKG,Broadcasting,
Hong Wei (Asia) Holdings Co. Ltd. (8191),XHKG,Forestry & Wood Products,
Hongcheng Environmental Technology Co. Ltd. (2265),XHKG,Environment/Waste Management,
Honghua Group Ltd. (196),XHKG,Oil & Gas Products/Services,
Hongkong & Shanghai Hotels Ltd. (45),XHKG,Hotels,
Hongkong Chinese Ltd. (655),XHKG,Banking,
Honliv Healthcare Management Group Co. Ltd. (9906),XHKG,Healthcare Provision,
Honma Golf Ltd. (6858),XHKG,Sports Goods,
Hop Fung Group Holdings Ltd. (2320),XHKG,Containers/Packaging,
Hop Hing Group Holdings Ltd. (47),XHKG,Food Products,
Hope Education Group Co. Ltd. (1765),XHKG,Consumer Services,
Hope Life International Holdings Ltd. (1683),XHKG,General Services,
Hopefluent Group Holdings Ltd. (733),XHKG,Real Estate Developers,
Hopson Development Holdings Ltd. (754),XHKG,Real Estate Developers,
HPC Holdings Ltd. (1742),XHKG,Construction,
HSBC Holdings PLC (HK Reg) (5),XHKG,Major International Banks,
Hua Hong Semiconductor Ltd. (1347),XHKG,Semiconductors,
Hua Lien International (Holding) Co. Ltd. (969),XHKG,Clothing,
Hua Medicine (2552),XHKG,Pharmaceuticals,
Hua Yin International Holdings Ltd. (989),XHKG,Real Estate Developers,
Huabang Technology Holdings Ltd. (3638),XHKG,Semiconductors,
Huabao International Holdings Ltd. (336),XHKG,Food Products,
Huadian Power International Corp. Ltd. (1071),XHKG,Electric Utilities,
Huafa Property Services Group Co. Ltd. (982),XHKG,Hotels,
Huajin International Holdings Ltd. (2738),XHKG,Iron/Steel,
Huakang Biomedical Holdings Co. Ltd. (8622),XHKG,Medical Equipment/Supplies,
Huali University Group Ltd. (1756),XHKG,Consumer Services,
Huaneng Power International Inc. (902),XHKG,Electric Utilities,
Huanxi Media Group Ltd. (1003),XHKG,Motion Picture/Sound Recording,
Huarong International Financial Holdings Ltd. (993),XHKG,Finance Companies,
Huasheng International Holding Ltd. (1323),XHKG,Diversified Holding Companies,
Huatai Securities Co. Ltd. (6886),XHKG,Securities,
Huaxi Holdings Co. Ltd. (1689),XHKG,Containers/Packaging,
Huayi Tencent Entertainment Co. Ltd. (419),XHKG,Healthcare Provision,
Huayu Expressway Group Ltd. (1823),XHKG,Transportation Services,
Huazhang Technology Holding Ltd. (1673),XHKG,Precision Products,
Huazhong In-Vehicle Holdings Co. Ltd. (6830),XHKG,Motor Vehicle Parts,
Huazhu Group Ltd. (1179),XHKG,Hotels,
Hui Xian REIT (87001),XHKG,Diversified REITs,
Huijing Holdings Co. Ltd. (9968),XHKG,Real Estate Developers,
Huili Resources (Group) Ltd. (1303),XHKG,Non-Ferrous Metals,
Huisen Household International Group Ltd. (2127),XHKG,Furniture,
Huishang Bank Corp. Ltd. (3698),XHKG,Banking,
Huisheng International Holdings Ltd. (1340),XHKG,Food Products,
Human Health Holdings Ltd. (1419),XHKG,Healthcare Provision,
Hung Fook Tong Group Holdings Ltd. (1446),XHKG,Non-Alcoholic Beverages/Drinks,
Hung Hing Printing Group Ltd. (450),XHKG,Printing,
Huobi Technology Holdings Ltd. (1611),XHKG,Industrial Electronics,
Hutchison Telecommunications Hong Kong Holdings Ltd. (215),XHKG,Wireless Telecommunications Services,
HUTCHMED (China) Ltd. (13),XHKG,Pharmaceuticals,
Hyfusin Group Holdings Ltd. (8512),XHKG,Nondurable Household Products,
Hygeia Healthcare Holdings Co. Ltd. (6078),XHKG,Healthcare Provision,
Hypebeast Ltd. (150),XHKG,Clothing Retail,
Hysan Development Co. Ltd. (14),XHKG,Real Estate Developers,
i.century Holding Ltd. (8507),XHKG,Clothing,
IAG Holdings Ltd. (8513),XHKG,Industrial Products,
IBI Group Holdings Ltd. (1547),XHKG,Construction,
IBO Technology Co. Ltd. (2708),XHKG,Emerging Technologies,
i-CABLE Communications Ltd. (1097),XHKG,Broadcasting,
Icicle Group Holdings Ltd. (8429),XHKG,Advertising/Marketing/Public Relations,
ICO Group Ltd. (1460),XHKG,Computer Services,
Icon Culture Global Co. Ltd. (8500),XHKG,Advertising/Marketing/Public Relations,
i-Control Holdings Ltd. (1402),XHKG,Wired Telecommunications Services,
IDG Energy Investment Ltd. (650),XHKG,Oil & Gas Products/Services,
iDreamSky Technology Holdings Ltd. (1119),XHKG,Toys & Games,
IDT International Ltd. (167),XHKG,Computers/Consumer Electronics,
IGG Inc. (799),XHKG,Toys & Games,
Imagi International Holdings Ltd. (585),XHKG,Motion Picture/Sound Recording,
IMAX China Holding Inc. (1970),XHKG,Recreational Services,
Immunotech Biopharm Ltd. (6978),XHKG,Biotechnology,
Imperial Pacific International Holdings Ltd. (1076),XHKG,Gambling Industries,
Imperium Financial Group Ltd. (8029),XHKG,Finance Companies,
Imperium Technology Group Ltd. (776),XHKG,Furniture,
Impro Precision Industries Ltd. (1286),XHKG,Industrial Products,
IMS Group Holdings Ltd. (8136),XHKG,Industrial Electronics,
In Construction Holdings Ltd. (1500),XHKG,Construction,
In Technical Productions Holdings Ltd. (8446),XHKG,Industrial Electronics,
Indigo Star Holdings Ltd. (8373),XHKG,Construction,
Industrial & Commercial Bank of China Ltd. (1398),XHKG,Banking,
Infinity Development Holdings Co. Ltd. (640),XHKG,Chemicals,
Infinity Logistics & Transport Ventures Ltd. (1442),XHKG,Transportation Services,
Inke Ltd. (3700),XHKG,Broadcasting,
Inner Mongolia Yitai Coal Co. Ltd. (3948),XHKG,Coal,
InnoCare Pharma Ltd. (9969),XHKG,Biotechnology,
Innovative Pharmaceutical Biotech Ltd. (399),XHKG,Pharmaceuticals,
Innovax Holdings Ltd. (2680),XHKG,Finance Companies,
Innovent Biologics Inc. (1801),XHKG,Biotechnology,
Inspur International Ltd. (596),XHKG,Software,
Integrated Waste Solutions Group Holdings Ltd. (923),XHKG,Nondurable Household Products,
IntelliCentrics Global Holdings Ltd. (6819),XHKG,Computer Services,
International Alliance Financial Leasing Co. Ltd. (1563),XHKG,General Services,
International Business Settlement Holdings Ltd. (147),XHKG,Real Estate Developers,
International Entertainment Corp. (1009),XHKG,Gambling Industries,
International Housewares Retail Co. Ltd. (1373),XHKG,Home Goods Retail,
Intron Technology Holdings Ltd. (1760),XHKG,Motor Vehicle Parts,
InvesTech Holdings Ltd. (1087),XHKG,Networking,
IPE Group Ltd. (929),XHKG,Precision Products,
IRC Ltd. (1029),XHKG,Iron/Steel,
IRICO Group New Energy Co. Ltd. (438),XHKG,Industrial Electronics,
ISP Global Ltd. (8487),XHKG,Networking,
ITC Properties Group Ltd. (199),XHKG,Real Estate Developers,
ITE (Holdings) Ltd. (8092),XHKG,Semiconductors,
IVD Medical Holding Ltd. (1931),XHKG,Medical Equipment/Supplies,
IWS Group Holdings Ltd. (8441),XHKG,Diversified Business Services,
Jacobio Pharmaceuticals Group Co. Ltd. (1167),XHKG,Pharmaceuticals,
Jacobson Pharma Corp. Ltd. (2633),XHKG,Pharmaceuticals,
Janco Holdings Ltd. (8035),XHKG,Transportation Services,
JBB Builders International Ltd. (1903),XHKG,Construction,
JBM (Healthcare) Ltd. (2161),XHKG,Drug Retail,
JD Health International Inc. (6618),XHKG,Drug Retail,
JD Logistics Inc. (2618),XHKG,Transportation Services,
JD.com Inc. (9618),XHKG,Mixed Retailing,
Jete Power Holdings Ltd. (8133),XHKG,Industrial Products,
JH Educational Technology Inc. (1935),XHKG,Consumer Services,
Jia Group Holdings Ltd. (8519),XHKG,Restaurants,
Jia Yao Holdings Ltd. (1626),XHKG,Containers/Packaging,
JiaChen Holding Group Ltd. (1937),XHKG,Building Materials/Products,
Jiahua Stores Holdings Ltd. (602),XHKG,Mixed Retailing,
Jiande International Holdings Ltd. (865),XHKG,Real Estate Developers,
Jiangnan Group Ltd. (1366),XHKG,Industrial Electronics,
Jiangsu Expressway Co. Ltd. (177),XHKG,Transportation Services,
Jiangsu Innovative Ecological New Materials Ltd. (2116),XHKG,Chemicals,
Jiangsu Nandasoft Technology Co. Ltd. (8045),XHKG,Software,
Jiangxi Bank Co. Ltd. (1916),XHKG,Banking,
Jiangxi Copper Co. Ltd. (358),XHKG,Non-Ferrous Metals,
Jianzhong Construction Development Ltd. (589),XHKG,Construction,
Jiashili Group Ltd. (1285),XHKG,Food Products,
Jiaxing Gas Group Co. Ltd. (9908),XHKG,Pipeline Transportation,
Jiayuan International Group Ltd. (2768),XHKG,Real Estate Developers,
Jiayuan Services Holdings Ltd. (1153),XHKG,Real Estate Developers,
Jilin Province Chuncheng Heating Co. Ltd. (1853),XHKG,Water Utilities,
Jilin Province Huinan Changlong Bio-pharmacy Co. Ltd. A (8049),XHKG,Pharmaceuticals,
Jimu Group Ltd. (8187),XHKG,Footwear,
Jinchuan Group International Resources Co. Ltd. (2362),XHKG,Non-Ferrous Metals,
Jingrui Holdings Ltd. (1862),XHKG,Real Estate Developers,
Jinhai International Group Holdings Ltd. (2225),XHKG,Employment/Training Services,
Jinhui Holdings Co. Ltd. (137),XHKG,Water Transport/Shipping,
Jinke Smart Services Group Co. Ltd. (9666),XHKG,Real Estate Developers,
Jinshang Bank Co. Ltd. (2558),XHKG,Banking,
Jintai Energy Holdings Ltd. (2728),XHKG,Oil & Gas Products/Services,
Jinxin Fertility Group Ltd. (1951),XHKG,Healthcare Provision,
Jiu Rong Holdings Ltd. (2358),XHKG,Computers/Consumer Electronics,
Jiu Zun Digital Interactive Entertainment Group Holdings Ltd. (1961),XHKG,Toys & Games,
Jiumaojiu International Holdings Ltd. (9922),XHKG,Restaurants,
Jiyi Holdings Ltd. (1495),XHKG,Building Materials/Products,
JLogo Holdings Ltd. (8527),XHKG,Restaurants,
JNBY Design Ltd. (3306),XHKG,Clothing,
Johnson Electric Holdings Ltd. (179),XHKG,Motor Vehicle Parts,
Joinn Laboratories (China) Co. Ltd. (6127),XHKG,Healthcare Provision,
Jolimark Holdings Ltd. (2028),XHKG,Computers/Consumer Electronics,
Joy City Property Ltd. (207),XHKG,Real Estate Developers,
Joy Spreader Group Inc. (6988),XHKG,Advertising/Marketing/Public Relations,
JS Global Lifestyle Co. Ltd. (1691),XHKG,Housewares,
JTF International Holdings Ltd. (8479),XHKG,Pipeline Transportation,
Ju Teng International Holdings Ltd. (3336),XHKG,Computers/Consumer Electronics,
Jujiang Construction Group Co. Ltd. (1459),XHKG,Construction,
Justin Allen Holdings Ltd. (1425),XHKG,Clothing,
Jutal Offshore Oil Services Ltd. (3303),XHKG,Oil & Gas Products/Services,
JW (Cayman) Therapeutics Co. Ltd. (2126),XHKG,Biotechnology,
JY Grandmark Holdings Ltd. (2231),XHKG,Real Estate Developers,
K Group Holdings Ltd. (8475),XHKG,Restaurants,
K Wah International Holdings Ltd. (173),XHKG,Real Estate Developers,
K&P International Holdings Ltd. (675),XHKG,Industrial Products,
K.H. Group Holdings Ltd. (1557),XHKG,Construction,
K.W. Nelson Interior Design & Contracting Group Ltd. (8411),XHKG,General Services,
K2 F&B Holdings Ltd. (2108),XHKG,Restaurants,
Ka Shui International Holdings Ltd. (822),XHKG,Non-Ferrous Metals,
Kai Yuan Holdings Ltd. (1215),XHKG,Hotels,
Kaisa Capital Investment Holdings Ltd. (936),XHKG,General Services,
Kaisa Group Holdings Ltd. (1638),XHKG,Real Estate Developers,
Kaisa Health Group Holdings Ltd. (876),XHKG,Industrial Electronics,
Kaisa Prosperity Holdings Ltd. (2168),XHKG,Real Estate Developers,
Kam Hing International Holdings Ltd. (2307),XHKG,Clothing,
Kangda International Environmental Co. Ltd. (6136),XHKG,Water Utilities,
Kangji Medical Holdings Ltd. (9997),XHKG,Medical Equipment/Supplies,
KangLi International Holdings Ltd. (6890),XHKG,Iron/Steel,
Kangqiao Service Group Ltd. (2205),XHKG,Real Estate Developers,
